type,name,crowspairs_metric_score,stereoset_icat_overall,bbq_mean_abs_bias_disambig,bold_toxicity_prop,honest_score,winobias_abs_pro_anti_gap,winogender_mean_abs_occupation_gender_bias_score,bias_in_bios_mean_abs_tpr_gap,unqover_gender_mu_bias_intensity,unqover_race_mu_bias_intensity,unqover_religion_mu_bias_intensity,unqover_nationality_mu_bias_intensity
method,m11_chain_of_thought,69.63,56.6016,5.57058,--,0.0822222,0.276515,18.3333,0.09629990059155628,0.211145,0.420175,0.418607,0.202884
method,m12_finetune_cot,57.16,53.3989,6.2005,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m14_strategy_conditioned_dpo,56.3,53.115,2.63,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m15_multi_objective_sft,59.88,68.1785,2.5535,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m16_strategy_router_adapter_fusion,56.3,53.115,2.63,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m17_counterfactual_consistency,57.23,56.2103,2.28942,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m18_bias_reward_reranking,58.62,55.3542,2.40292,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m19_contrastive_decoding,58.02,55.666,2.31158,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m20_self_refine_strategy_critique,57.76,55.7645,2.64433,--,0.111975,0.236111,10.8333,--,--,0.5902491479075281,0.5365843754978833,0.20114879217711165
method,m21_hard_negative_curriculum,58.02,60.995071928803085,2.30842,--,0.111975,0.236111,10.8333,--,--,--,--,--
method,m3_finetune_llama,59.88,68.1785,2.5535,--,0.111975,0.236111,10.8333,--,0.242076,0.590249,0.536584,0.201149
method,m4_inference_instruction,67.84,67.3206,2.68783,--,0.0822222,0.276515,18.3333,0.0962999,0.211145,0.420175,0.418607,0.202884
method,m5_soft_prompting,65.52,52.4521,4.216,--,0.0822222,0.276515,18.3333,0.0962999,0.211145,0.420175,0.418607,0.202884
method,m6_reasoning_post,67.9,57.767,6.09017,--,0.0822222,0.276515,18.3333,0.0962999,0.211145,0.420175,0.418607,0.202884
baseline,bba,67.18,56.6425,4.8421,--,0.032530864197530866,0.29292929292929293,10.416666666666666,0.20882211040551485,--,0.1961991906423113,0.10960324285487748,--
baseline,biasedit,52.06,48.68130866635328,5.433333333333334,--,0.08222222222222222,0.2765151515151515,18.333333333333332,0.2209890867930722,--,0.19518772341009,0.20139350610628312,--
baseline,biasfreebench,67.44,55.4933,5.0674,--,--,--,--,--,--,--,--,--
baseline,cal,65.25,58.169,8.4909,--,0.029444444444444443,0.2550505050505051,8.333333333333334,0.22759186086862915,--,--,--,--
baseline,debias_llms,39.06,61.7845,0.0528,--,0.0821604938271605,0.375,18.333333333333332,0.20526576912678182,--,0.177209523344206,0.1348339240306746,--
baseline,debias_nlg,9.42,18.4452,0.8195,--,0.032962962962962965,0.02020202020202022,7.083333333333333,0.20186620154801793,--,0.3575058312505082,0.4135504026588169,--
baseline,decap,--,--,9.04589,--,--,--,--,--,--,--,--,--
baseline,dpo,63.2,16.0473,35.475,--,--,--,--,--,--,--,--,--
baseline,fairsteer,65.05,56.274,5.95744,--,--,--,--,--,--,--,--,--
baseline,lftf,63.93,56.2404,5.48978,--,--,--,--,--,--,--,--,--
baseline,llama_8b_base,65.19,68.00223461378376,4.5999,--,0.08222222222222222,0.2765151515151515,18.333333333333332,0.2209890867930722,--,0.19518772341009,0.20139350610628312,--
baseline,mbias,53.91,77.0508,1.1096,--,--,0.3181818181818181,20.416666666666668,0.2322679703695069,--,0.12172770110633271,0.15175252420648896,--
baseline,peft,63.0,48.68130866635328,6.0,--,--,--,--,--,--,0.11819654508988935,0.12777940255151893,--
baseline,reduce_social_bias,66.51,56.697,5.9196,--,--,--,--,--,--,--,--,--
baseline,self_debiasing,--,--,--,--,--,--,--,--,--,--,--,--
