source_file,intersentence / gender,intersentence / gender,intersentence / gender,intersentence / overall,intersentence / overall,intersentence / overall,intersentence / profession,intersentence / profession,intersentence / profession,intersentence / race,intersentence / race,intersentence / race,intersentence / religion,intersentence / religion,intersentence / religion,intrasentence / gender,intrasentence / gender,intrasentence / gender,intrasentence / overall,intrasentence / overall,intrasentence / overall,intrasentence / profession,intrasentence / profession,intrasentence / profession,intrasentence / race,intrasentence / race,intrasentence / race,intrasentence / religion,intrasentence / religion,intrasentence / religion,overall / overall,overall / overall,overall / overall
,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score,LM Score,SS Score,ICAT Score
bba/stereoset_eval_llama_8b_bba.csv,41.585001150218545,48.96933782803348,40.72779939808426,40.288956629715756,44.28243224779706,35.681859845796446,37.72614652166933,44.59101868276877,33.64494608753258,42.19797429559047,43.39871461260968,36.62675687369139,38.68869731800766,36.17816091954023,27.993718346765316,69.03372062719889,46.99037242950286,64.8784048493266,67.32695973397567,40.82144205443559,54.96767170963612,64.1781224189099,42.08975378296121,54.0248274172932,69.26754718793009,38.081063171436675,52.75563680388073,69.83908045977012,40.45977011494253,56.51346280882547,53.796280686718625,42.56866292605184,45.80071478456396
biasedit/stereoset_eval_llama_8b_biasedit.csv,28.575421156942895,59.62379005857265,23.07534407594862,28.588547126960144,50.651411416624455,28.216089007295984,27.277764629182872,51.006069224311695,26.72889823915409,30.19197072633761,47.72321604088383,28.817158833460997,22.499042145593872,52.3352490421456,21.448224813200042,83.92595649117389,67.50004970874537,54.55178828218302,84.64583658348688,63.33321446582496,62.07381472735082,84.19528970133436,64.11254875929635,60.43108707707111,85.38810554613708,61.635500483794075,65.51743867829033,82.64367816091954,62.02298850574713,62.77119830889152,56.54366281801504,56.95246271626109,48.68130866635328
biasfreebench/stereoset_eval_llama_8b_biasfreebench.csv,31.84271646228168,60.480437436959164,25.168204508166223,31.548140844576277,52.80753524112714,29.77669050031247,31.643195995012828,53.66266094072915,29.32523003479742,31.80857827445857,49.99366669438353,31.804549205509815,26.490421455938698,52.446360153256705,25.194319226083,87.80817797339536,67.34621948100208,57.3453794263272,86.84629886575902,64.10822360433687,62.34135879361511,86.54768435358876,63.439911037152136,63.28382078991363,87.0670629325163,63.84369159551997,62.96047158520661,83.97701149425286,63.17241379310345,61.85341260404279,59.12731789789875,58.44355638556957,49.14242104593065
cal/stereoset_eval_llama_8b_cal.csv,41.89146803277238,44.42435985914247,37.22003301831287,40.99041100372152,39.33322721420884,32.245702992263695,38.84850640988943,39.46768116323177,30.665209293065633,42.72913981808897,38.18564167617128,32.63279244449135,38.5411877394636,34.78927203065134,26.81639729305207,68.29951095603269,38.81585033324164,53.02207190205925,66.2592728715356,33.3469068526951,44.1908360114881,61.9661056378214,33.475306506947135,41.48668758535872,69.10021462311681,31.6682474538701,43.765653916007935,68.29885057471265,33.97701149425287,46.41181662042542,53.60588646978201,36.32220362496297,38.941678477041386
debias_llms/stereoset_eval_llama_8b_debias_llms.csv,52.49942489072923,18.07236644193166,18.97577689231853,50.62508155054129,12.261699827178928,12.414991073983824,48.95727874241963,13.24290665801604,12.966733452326721,51.861330882573625,9.44547181682579,9.797094784688523,46.22030651340996,16.875478927203066,15.599796171518328,67.16160272899404,13.2313604270126,17.772787451263063,64.27209391791479,11.062372666828756,14.220037099947826,62.737700048826134,9.26609030764332,11.626663886925234,65.24588441767789,12.116190314388259,15.810631056703292,58.298850574712645,9.14942528735632,10.668019553441669,57.44107126909233,11.640238147367144,13.37255498024247
debias_nlg/stereoset_eval_llama_8b_debias_nlg.csv,59.54328582045973,20.13718568066394,23.98068405206884,56.189163388421974,13.58358138591266,15.265001477859478,56.81801642513546,14.834414278370526,16.85723988251441,55.67758251443828,10.103857617066739,11.251167323767381,44.85919540229886,20.986590038314176,18.828830867133487,74.49771934989326,13.824833620485794,20.598371502358386,68.35153901721749,12.300178968308126,16.814723253421416,67.59277613337468,11.64171771518038,15.737920386602593,67.6928372039657,12.450396412113134,16.85605314900026,63.356321839080465,12.0,15.205517241379312,62.29852684646409,12.940174962537514,16.123076746031714
dpo/stereoset_eval_llama_8b_dpo.csv,47.503229459751196,13.091787439613526,12.438043655644998,46.11796639813889,10.6551164520421,9.827846050070688,44.2498500277514,13.624158261162336,12.057339196215674,47.21252070625602,7.515232196930999,7.096261114198534,47.04693486590039,10.521072796934865,9.89968453193582,43.078853594070985,9.279054600793732,7.994620692779679,43.11135754542596,7.628165239561486,6.577211181166502,41.27876483651843,7.405381875295105,6.1137003390984495,44.924068186321136,7.546473657182414,6.780365942830779,39.793103448275865,5.333333333333333,4.244597701149425,44.61833361188506,9.156411871321264,8.17087679124874
fairsteer/stereoset_eval_llama_8b_fairsteer.csv,27.721582966148183,58.34764470634036,23.093384460173343,28.446249134237778,50.237065184421226,28.311376828295774,27.18911817010631,50.60834871331718,26.858308869006052,30.342096007372234,47.70214175487009,28.947659297670963,20.68295019157088,49.90804597701149,20.644912582023164,85.06348192869932,69.03487301748171,52.68003038994648,85.16919714253993,63.35498305425281,62.42053345088117,84.54397377530267,63.87450201845787,61.08386307942495,85.88214914724408,61.757984910119866,65.68612887280489,83.2183908045977,58.39080459770114,69.25300568106753,56.72452671131405,56.76837320122615,49.04587138241215
lftf/stereoset_eval_llama_8b_lftf.csv,28.3533515598733,58.68952504822071,23.425808388262766,28.61790001860024,50.13590072843215,28.540116149425714,27.47435325766805,50.62730079215061,27.12965958642083,30.15424615844063,47.27822600480491,28.512785297665523,22.499042145593872,51.001915708812255,22.048199270415882,83.60849617371358,67.17880428749994,54.88261632290531,84.51011923201044,62.678406502409324,63.08104632820027,84.37309826728948,63.09572664360049,62.27455764764817,85.03029097472904,61.230932829226425,65.93090124699384,82.64367816091954,60.87356321839081,64.67105297925748,56.49045725999314,56.350220932665295,49.31591957622829
mbias/stereoset_eval_llama_8b_mbias.csv,39.869992125426904,42.89932491019448,34.20791492711168,40.62551452076534,37.22967342987081,30.24949277057136,38.30743641649278,37.931075558698836,29.06084530348078,43.08983368615985,35.04215376865544,30.19921155792405,36.752873563218394,37.567049808429125,27.61394063504647,72.46219344262823,34.52531011661446,50.03559400673693,75.84940274400654,30.022551958124748,45.54385269749333,72.25031165104295,27.669853969617396,39.9831114528741,79.88426671623515,30.594400046626888,48.880224266958784,74.71264367816092,31.678160919540232,47.33518298322103,58.14565021090554,33.60219690169523,39.076431747278896
